Name,Artist,Topic,Lyrics
Wishing for a Hero,Polo G,Racism,"Well respected in this hip-hop, lil' Polo be spittin' facts A lot of rappers doin' way more stuntin' than givin' back You ain't my color, then you don't know the struggle of livin' black Cops kill us and we protest, what type of shit is that? Man, if the police shoot at one of my brothers, I'm blickin' back We hate each other, so we just wanna score and go tit-for-tat All these shorties want is points, they ain't chasin' a different stat Really riskin' it all, what's the point when that nigga rat? We 17, got 40 years in that court when we gettin' cracked Stuck in the system They just watchin' us fail while they sittin' back The government cuttin' checks, but can't cut a nigga some slack It's hard to get a job, so we hustle and flip a pack It's all a set-up, no wonder why they call this bitch a trap Life was messed up, a matter of time 'til that nigga snap Post-traumatic stress, so them triggers keep gettin' tapped R.I.P. Malcolm, I promise to conquer and fill them gaps Them corners leave a nigga boxed in, tryna break free Crazy how I love the same block that tried to break me Pray that I ain't in my own hood when they take me This all we know, a life of peace what we can't see I'm from where we unheard and we can't speak We go to school, they try to tell us what we can't be Profit with a billion-dollar mind like I'm Jay-Z They killed Martin for dreamin' and now I can't sleep Why would the devil take my brother if he close to me? Now if you scared, take my soul, you see my bros in me We missin' you, man, this ain't how this shit supposed to be Feel like I'm stuck, I wish them streets never proposed to me Out there posted in the field with them soldiers deep So now the other side wanna put a hole in me Like every day might be the end of the road for me We die young, so I couldn't picture a older me Fightin' demons, let them drugs take control of me All in my head, go and kill what they told to me 'Member we ain't have a thing, same clothes for weeks Hardbody, that's how them situations molded me Needed money and grew accustomed to this fast life Pressure from this way of livin', so we blast pipes Shit got me stressin' 365 nights Them people workin' against us like we don't have rights It don't matter what this money and this fame can give I've been hurtin', tryna smile through the pain and tears Wish we could go back to them days when we played as kids A lot of shit changed, that's just the way it is"
Changes,2Pac,Racism,"Come on, come on I see no changes, wake up in the morning, and I ask myself Is life worth living, should I blast myself? I'm tired of bein' poor, and even worse I'm black My stomach hurts, so I'm lookin' for a purse to snatch Cops give a damn about a negro Pull the trigger, kill a nigga, he's a hero Give the crack to the kids who the hell cares One less hungry mouth on the welfare First, ship 'em dope and let 'em deal the brothers Give 'em guns, step back, watch 'em kill each other It's time to fight back, that's what Huey said Two shots in the dark, now Huey's dead I got love for my brother, but we can never go nowhere Unless we share with each other We gotta start makin' changes Learn to see me as a brother instead of two distant strangers And that's how it's supposed to be How can the devil take a brother, if he's close to me? I'd love to go back to when we played as kids But things changed, and that's the way it is Come on, come on That's just the way it is Things will never be the same That's just the way it is Ooh, yeah Come on, come on That's just the way it is Things will never be the same That's just the way it is Aww, yeah I see no changes, all I see is racist faces Misplaced hate makes disgrace to races We under, I wonder what it takes to make this One better place, let's erase the wasted Take the evil out the people, they'll be acting right 'Cause mo' black and white is smokin' crack tonight And only time we chill is when we kill each other It takes skill to be real, time to heal each other And although it seems heaven sent We ain't ready, to see a black President It ain't a secret, don't conceal the fact The penitentiary's packed, and it's filled with blacks But some things will never change Try to show another way but you stayin' in the dope game Now tell me, what's a mother to do? Bein' real don't appeal to the brother in you You gotta operate the easy way (I made a G today) But you made it in a sleazy way Sellin' crack to the kid (I gotta get paid) Well, hey, well, that's the way it is Come on, come on That's just the way it is Things will never be the same That's just the way it is Aww, yeah Come on, come on That's just the way it is Things will never be the same That's just the way it is Aww, yeah We gotta make a change It's time for us as a people to start makin' some changes Let's change the way we eat Let's change the way we live And let's change the way we treat each other You see, the old way wasn't working so it's on us to do What we gotta do, to survive And still I see no changes, can't a brother get a little peace? There's war in the streets and war in the Middle East Instead of war on poverty, they got a war on drugs So the police can bother me And I ain't never did a crime, I ain't have to do But now, I'm back with the facts givin' 'em back to you Don't let 'em jack you up, back you up Crack you up and pimps smack you up You gotta learn to hold ya own They get jealous when they see ya, with ya mobile phone But tell the cops, they can't touch this I don't trust this, when they try to rush, I bust this That's the sound of my tool, you say it ain't cool? But mama didn't raise no fool And as long as I stay black, I gotta stay strapped And I never get to lay back 'Cause I always got to worry 'bout the pay backs Some buck that I roughed up way back Comin' back after all these years Rat-a-tat, tat, tat, tat, that's the way it is That's just the way it is Things will never be the same That's just the way it is (Way it is) Aww, yeah That's just the way it is Things will never be the same That's just the way it is Aww, yeah Some things will never change"
The Bigger Picture,Lil Baby,Racism,"Protests and growing national outcry continues Over the death of George Floyd Last night, people protesting in Minneapolis escalated As demonstrators were lashed by tear gas and rubber bullets The main message here, the main message here, the main message here Is that they want to see those officers involved They want to see those officers arrested Officers arrested (I can't breathe, I can't breathe) Trade my 4 x 4 for a G63, ain't no more free Lil Steve I gave 'em chance and chance and chance again I even done told them please I find it crazy the police'll shoot you and know that you dead But still tell you to freeze Fucked up, I seen what I seen I guess that mean hold him down if he say he can't breathe It's too many mothers that's grieving They killing us for no reason Been going on for too long to get even Throw us in cages like dogs and hyenas I went to court and they sent me to prison My mama was crushed when they said I can't leave First I was drunk, then I sobered up quick When I heard all that time that they gave to Taleeb He got a life sentence plus We just some products of our environment How the fuck they gon' blame us? You can't fight fire with fire I know, but at least we can turn up the flames some Every colored person ain't dumb and all whites not racist I be judging by the mind and heart, I ain't really into faces Fucked up, the way that we livin' is not getting better You gotta know how to survive Crazy, I had to tell all of my loved ones To carry a gun when they going outside Stare in the mirror whenever you drive Overprotective, go crazy for mine You gotta pay attention to the signs Seem like the blind following the blind Thinking 'bout everything that's going on I boost security up at my home I'm with my kind if they right or they wrong I call him now, he'll pick up the phone And it's five in the morning, he waking up on it Tell 'em wherever I'm at, then they comin' I see blue lights, I get scared and start runnin' That shit be crazy, they 'posed to protect us Throw us in handcuffs and arrest us While they go home at night, that shit messed up Knowing we needed help, they neglect us Wondering who gon' make them respect us I can see in your eye that you fed up Fuck around, got my shot, I won't let up They know that we a problem together They know that we can storm any weather It's bigger than black and white It's a problem with the whole way of life It can't change overnight But we gotta start somewhere Might as well gon' 'head start here We done had a hell of a year I'ma make it count while I'm here God is the only man I fear Fuck it, I'm goin' on the front line He gon' bust your ass if you come past that gun line You know when the storm go away, then the sun shine You gotta put your head in the game when it's crunch time I want all my sons to grow up to be monsters I want all my daughters to show out in public Seems like we losing our country But we gotta stand up for something, so this what it comes to Every video I see on my conscience I got power, now I gotta say somethin' Corrupted police been the problem where I'm from But I'd be lying if I said it was all of them I ain't do this for the trend, I don't follow them Altercations with the law, had a lot of them People speaking for the people, I'm proud of them Stick together, we can get it up out of them I can't lie like I don't rap about killing and dope But I'm telling my youngins to vote I did what I did 'cause I didn't have no choice or no hope I was forced to just jump in and go This bullshit is all that we know, but it's time for a change Got time to be serious, no time for no games We ain't takin' no more, let us go from them chains God bless they souls, every one of them names It's bigger than black and white It's a problem with the whole way of life It can't change overnight But we gotta start somewhere Might as well gon' 'head start here We done had a hell of a year I'ma make it count while I'm here God is the only man I fear They trainin' officers to kill us Then shootin' protestors with these rubber bullets They regular people, I know that they feel it These scars too deep to heal us What happened to COVID? Nobody remember It ain't makin' sense, I'm just here to vent It happen to one of your people, it's different We get it, the system is wicked, just learn how to pick it Knowledge is power, I swear I'm a witness, I know that I'm gifted I won't go too deep 'cause I'm scared they'll get me Ain't scared to admit it, some shit I can't mention It's people who can, well, here's the chance I won't take the stand, but I'll take a stand for what I believe Must not be breathing the air that I breathe You know that the way that I bleed, you can bleed I never been a fan of police But my neighborhood know I try to keep peace So it's only right that I get in the streets March for a reason, not just on GP Our people died for us to be free Fuck do you mean? This was a dream Now we got the power that we need to have They don't want us with it and that's why they mad, yeah It's bigger than black and white It's a problem with the whole way of life It can't change overnight But we gotta start somewhere Might as well gon' 'head start here We done had a hell of a year I'ma make it count while I'm here God is the only man I fear It's bigger than black and white It's a problem with the whole way of life It can't change overnight But we gotta start somewhere Might as well gon' 'head start here We done had a hell of a year I'ma make it count while I'm here God is the only man I fear"
Cops Shot the Kid,Nas,Racism,"The cops used to come around in my neighborhood Alright, you kids, stop having so much fun, move along! Oh they'd arrest me, you know, especially at night They had a curfew, niggas had to be home at 11, negros, 12 And you'd be trying to get home, doing your crew runs And they'd always catch you out in front of a store or something 'Cause you'd be taking shortcuts, right Cops, ""Ree, put your hands up, black boy!"" The cops shot the kid The cops shot the kid, the cops shot The cops shot the kid The cops shot the kid, the cops shot The cops shot the kid The cops shot the kid, the cops shot The cops shot the kid The cops shot the kid, the cops shot The cops shot the kid I don't wanna hurt nobody We just came here to party See a few dames, exchange some names I'm a top shotta, kid, stay in your lane The cop shot the kid, same old scene Pour out a little liquor, champagne for pain Slap-boxin' in the street Crack the hydrant in the heat Cop cars on the creep Doin' they round-ups, we just watch for the sweep Yeah, it's hotter than July It's the summer when niggas die It's the summer when niggas ride Together we'll be strong, but forever we divide So y'all are blowin' my high Type of shit that's killin' my vibe White kids are brought in alive Black kids get hit with like five Get scared, you panic, you're goin' down The disadvantages of the brown How in the hell the parents gon' bury their own kids Not the other way around? Reminds me of Emmett Till Let's remind 'em why Kap kneels The cops shot the kid The cops shot the kid, the cops shot The cops shot the kid The cops shot the kid, the cops shot The cops shot the kid The cops shot the kid, the cops shot The cops shot the kid The cops shot the kid, the cops shot– The cops shot the kid The cops shot the kid, the cops shot– The cops shot the kid The cops shot the kid, the cops shot– The cops shot the kid The cops shot the kid, the cops shot– The cops shot the kid I still hear him scream Stay tuned up and down your timeline This fake news, people is all lyin' Money is bein' made when a mom cries Won't be satisfied 'til we all die Tell me, who do we call to report crime If 9-1-1 doin' the driveby? It's certain things I can't abide by I ain't bein' extreme, this is my side Talkin' big shit, ready to die I know every story got two sides Claimin' he paranoid by the black guy Cop wanna make it home by nighttime Just a good kid, he wasn't that guy Had a little hit, he wasn't that high Cop gon' claim that it was self-defense Say he was ridin' dirty so the case rests The cops shot the kid The cops shot the kid, the cops shot (Workin' nine-to-five) The cops shot the kid"
Black America Again,Common,Racism,"Here we go, here, here we go again Trayvon'll never get to be an older man Black children, they childhood stole from them Robbed of our names and our language, stole again Who stole the soul from black folk? Same man that stole the land from Chief Black Smoke And made the whip crackle on our back slow And made us go through the back door And raffle black bodies on the slave blocks Now we slave to the blocks, on 'em we spray shots Leaving our own to lay in a box Black mothers' stomachs stay in a knot We kill each other, it's part of the plot I wish the hating will stop (war!) and the battle with us I know that Black Lives Matter, and they matter to us These are the things we gotta discuss The new plantation, mass incarceration Instead of educate, they'd rather convict the kids As dirty as the water in Flint, the system is Is it a felony or a misdemeanor? Maria Sharapova making more than Serena It took Viola Davis to say this The roles of the help and the gangstas is really all they gave us We need Avas, Ta-Nehisis, and Cory Bookers The salt of the Earth to get us off of sugar And greasy foods; I don't believe the news Or radio, stereotypes we refuse Brainwashed in the cycle to spin We write our own story, black America again You know, one way of solving a lot of problems that we've got is lettin' a person feel that they're important. And a man can't get himself together until he knows who he is, and be proud of what and who he is and where he come from, and where he come from… Hot damn, black America again Think of Sandra Bland as I'm staring in the wind The color of my skin, they comparing it to sin The darker it gets, the less fairer it has been The hate the hate made, I inherited from them But I ain't gon' point the finger We got anointed singers, like Nina, Marvin, Billie, Stevie Need to hear them songs sometimes to believe me Who freed me: Lincoln or Cadillac? Drinkin' or battle raps? Or is it Godspeed that we travel at? Endangered in our own habitat The guns and dope, man, y'all can have it back As a matter of fact, we them lab rats You build the projects for, now you want your hood back I guess if you could rap, you would express it too That PTSD, we need professionals You know what pressure do, it make the pipes bust From schools to prison, y'all, they tryna pipe us Tell your political parties invite us Instead of making voting laws to spite us You know, you know we from a family of fighters Fought in your wars and our wars You put a nigga in Star Wars, maybe you need two And then, maybe then we'll believe you See black people in the future We wasn't shipped here to rob and shoot ya We hold these truths to be self-evident All men and women are created equal Including black Americans You know, you know, you know, one way of solving a lot of problems that we've got is to let a person feel like somebody. And a man can't get himself together until he knows who he is, and be proud of what and who he is and where he come from, and where he come from… We are rewriting the black American story We are rewriting the black American story"
The Blacker the berry,Kendrick Lamar,Racism,"Everything black, I don't want black (They want us to bow) I want everything black, I ain't need black (Down to our knees) Some white, some black, I ain't mean black (And pray to a God) I want everything black (That we don't believe) Everything black, want all things black I don't need black, want everything black Don't need black, our eyes ain't black I own black, own everything black Six in the morn', fire in the street Burn, baby, burn, that's all I wanna see And sometimes I get off watchin' you die in vain It's such a shame they may call me crazy They may say I suffer from schizophrenia or somethin' But homie, you made me Black don't crack, my nigga I'm the biggest hypocrite of 2015 Once I finish this, witnesses will convey just what I mean Been feeling this way since I was 16, came to my senses You never liked us anyway, fuck your friendship, I meant it I'm African-American, I'm African I'm black as the moon, heritage of a small village Pardon my residence Came from the bottom of mankind My hair is nappy, my dick is big, my nose is round and wide You hate me don't you? You hate my people, your plan is to terminate my culture You're fuckin' evil I want you to recognize that I'm a proud monkey You vandalize my perception but can't take style from me And this is more than confession I mean I might press the button just so you know my discretion I'm guardin' my feelings, I know that you feel it You sabotage my community, makin' a killin' You made me a killer, emancipation of a real nigga The blacker the berry, the sweeter the juice The blacker the berry, the sweeter the juice The blacker the berry, the sweeter the juice The blacker the berry, the bigger I shoot I said they treat me like a slave, cah' me black Woi, we feel a whole heap of pain, cah' we black And man a say they put me inna chains, cah' we black Imagine now, big gold chains full of rocks How you no see the whip, left scars pon' me back But now we have a big whip parked pon' the block All them say we doomed from the start, cah' we black Remember this, every race start from the block, just remember that I'm the biggest hypocrite of 2015 Once I finish this, witnesses will convey just what I mean I mean, it's evident that I'm irrelevant to society That's what you're telling me, penitentiary would only hire me Curse me till I'm dead Church me with your fake prophesizing that I'mma be just another slave in my head Institutionalized manipulation and lies Reciprocation of freedom only live in your eyes You hate me don't you? I know you hate me just as much as you hate yourself Jealous of my wisdom and cards I dealt Watchin' me as I pull up, fill up my tank, then peel out Muscle cars like pull ups, show you what these big wheels 'bout, ah Black and successful, this black man meant to be special CAT scans on my radar, bitch, how can I help you? How can I tell you I'm making a killin'? You made me a killer, emancipation of a real nigga The blacker the berry, the sweeter the juice The blacker the berry, the sweeter the juice The blacker the berry, the sweeter the juice The blacker the berry, the bigger I shoot I said they treat me like a slave, cah' me black Woi, we feel a whole heap of pain, cah' we black And man a say they put me inna chains, cah' we black Imagine now, big gold chains full of rocks How you no see the whip, left scars pon' me back But now we have a big whip parked pon' the block All them say we doomed from the start, cah' we black Remember this, every race start from the block, just remember that I'm the biggest hypocrite of 2015 When I finish this if you listenin' then sure you will agree This plot is bigger than me, it's generational hatred It's genocism, it's grimy, little justification I'm African-American, I'm African I'm black as the heart of a fuckin' Aryan I'm black as the name of Tyrone and Darius Excuse my French but fuck you — no, fuck y'all That's as blunt as it gets, I know you hate me, don't you? You hate my people, I can tell cause it's threats when I see you I can tell cause your ways deceitful Know I can tell because you're in love with that Desert Eagle Thinkin' maliciously, he get a chain then you gone bleed him It's funny how Zulu and Xhosa might go to war Two tribal armies that want to build and destroy Remind me of these Compton Crip gangs that live next door Beefin' with Pirus, only death settle the score So don't matter how much I say I like to preach with the Panthers Or tell Georgia State ""Marcus Garvey got all the answers"" Or try to celebrate February like it's my B-Day Or eat watermelon, chicken, and Kool-Aid on weekdays Or jump high enough to get Michael Jordan endorsements Or watch BET cause urban support is important So why did I weep when Trayvon Martin was in the street? When gang banging make me kill a nigga blacker than me? Hypocrite!"
Land of the Free,Joey Badass,Racism,"Yeah You know sometimes I think they don't truly understand me you know 'Cause they don't Can't change the world 'less we change ourselves Die from the sicknesses if we don't seek the health All eyes be my witness when I speak what's felt Full house on my hands, the cards I was dealt Three K's, Two A's in AmeriKKKa I'm just a black spade spawn out the nebula And everything I do or say today that's worthwhile Will for sure inspire action in your first child I'll begin my verse now Sometimes I speak and I feel like it ain't my words Like I'm just a vessel channeling inside this universe I feel my ancestors arrested inside of me It's like they want me to shoot my chance and change society But how do I go about it? Tell me where I start? My destiny rerouted when I chose to follow heart You told to follow suit, but tell me what it do for you? Except weigh you down, now you trapped inside the cubicle they built for us The first step in the change is to take notice Realize the real games that they tried to show us 300 plus years of them cold shoulders Yet 300 million of us still got no focus Sorry America, but I will not be your soldier Obama just wasn't enough, I just need some more closure And Donald Trump is not equipped to take this country over Let's face facts 'cause we know what's the real motives In the land of the free, is for the free loaders Leave us dead in the street then be your organ donors They disorganized my people, made us all loners Still got the last names of our slave owners In the land of the free, it's for the free loaders Leave us dead in the street then be your organ donors They disorganized my people, made us all loners We can't change the world 'less we change ourselves Die from the sicknesses if we don't seek the health All eyes be my witness when I speak what's felt Full house on my hands, the cards I was dealt Three K's, Two A's in AmeriKKKa I'm just a black spade spawn out the nebula And everything I do or say today that's worthwhile Will for sure inspire action Trickery in the system, put my niggas in prison All our history hidden, ain't no liberty given We all fit the description of what the documents written We been lacking the vision and barely making a living We too worried to fit in while they been benefitin' Every time you submittin', we all guilty admit it The Lord won't get you acquitted, but you still ask for forgiveness Put opiates in syringes then inject his religion How many times do I gotta tell you I'm a man on a mission Many times I gotta tell you I don't need no permission Or human with supervision, ain't no livin' condition I'm reaching out to my children, just hoping that they will listen Start a new coalition against corrupt politicians It's not enough pots to piss in, too many murder convictions Another family evicted, another black man a victim That's as real as it's getting, you should take recognition In the land of the free, is for the free loaders Leave us dead in the street then be your organ donors They disorganized my people, made us all loners Still got the last names of our slave owners In the land of the free, is for the free loaders Leave us dead in the street then be your organ donors They disorganized my people, made us all loners We can't change the world 'less we change ourselves Die from the sicknesses if we don't seek the health All eyes be my witness when I speak what's felt Full house on my hands, the cards I was dealt Three K's, Two A's in AmeriKKKa I'm just a black spade spawn out the nebula And everything I do or say today that's worthwhile Will for sure inspire action in your first child"
Fuck the Police,NWA,Racism,"Right about now NWA court is in full effect Judge Dre presiding in the case of NWA versus the police department. Prosecuting attourneys are MC Ren, Ice Cube and Eazy motherfuckin' E Order, order, order, Ice Cube take the motherfuckin' stand Do you swear to tell the truth the whole truth And nothin' but the truth so help your black ass? You goddamn right Well, won't you tell everybody what the fuck you gotta say? Fuck the police comin' straight from the underground A Young nigga got it bad 'cause I'm brown And not the other color so police think They have the authority to kill a minority Fuck that shit, 'cause I ain't the one For a punk motherfucker with a badge and a gun To be beatin' on, and thrown in jail We can go toe-to-toe in the middle of a cell Fuckin with me 'cause I'm a teenager With a little bit of gold and a pager Searchin' my car, lookin' for the product Thinkin' every nigga is sellin' narcotics You'd rather see me in the pen Than me and Lorenzo rollin' in the Benzo Beat a police outta shape And when I'm finished, bring the yellow tape To tape off the scene of the slaughter Still getting swole off bread and water I don't know if they fags or what Search a nigga down and grabbin' his nuts And on the other hand, without a gun, they can't get none But don't let it be a black and a white one 'Cause they'll slam ya down to the street top Black police showin' out for the white cop Ice Cube will swarm On any motherfucker in a blue uniform Just 'cause I'm from the CPT, punk police are afraid of me A young nigga on a warpath And when I'm finished, it's gonna be a bloodbath Of cops, dyin' in L.A. Yo Dre, I got somethin' to say Fuck the police, fuck-, fuck- Fuck the police, fuck-, fuck- Fuck the police, fuck the-, fuck the- Fuck the police (Example of scene one) Pull your goddamn ass over right now Aw shit, now what the fuck you pullin' me over for? 'Cause I feel like it Just sit your ass on the curb and shut the fuck up Man, fuck this shit Alright, smart-ass, I'm taking your black ass to jail MC Ren, will you please give your testimony To the jury about this fucked up incident Fuck the police and Ren said it with authority Because the niggas on the street is a majority A gang, is with whoever I'm steppin' And the motherfuckin' weapon is kept in A stash spot, for the so-called law Wishin' Ren was a nigga that they never saw Lights start flashin' behind me But they're scared of a nigga so they mace me to blind me But that shit don't work, I just laugh Because it gives 'em a hint not to step in my path For police, I'm sayin', ""Fuck you, punk"" Readin' my rights and shit, it's all junk Pullin' out a silly club, so you stand With a fake-ass badge and a gun in your hand But take off the gun so you can see what's up And we'll go at it, punk, I'ma fuck you up Make ya think I'm a kick your ass But drop your gat, and Ren's gonna blast I'm sneaky as fuck when it comes to crime But I'm a smoke 'em now, and not next time Smoke any motherfucker that sweats me Or any asshole that threatens me I'm a sniper with a hell of a scope Takin' out a cop or two, they can't cope with me The motherfuckin' villian that's mad With potential to get bad as fuck So I'm a turn it around Put in my clip, yo, and this is the sound Yeah, somethin' like that, but it all depends on the size of the gat Takin' out a police would make my day But a nigga like Ren don't give a fuck to say Fuck the police, fuck-, fuck- Fuck the police, fuck-, fuck- Fuck the police, fuck the-, fuck the- Fuck the police Yeah, man, what you need? Police, open now (Aww, shit) We have a warrant for Eazy-E's arrest Get down and put your hands right where I can see 'em! Man, what the fuck did I do? Man, what did I do? Just shut the fuck up and get your motherfucking ass on the floor! But I didn't do shit Man, just shut the fuck up! Eazy-E, won't you step up to the stand And tell the jury how you feel about this bullshit? I'm tired of the motherfuckin' jackin' Sweatin' my gang while I'm chillin' in the shack, and Shining the light in my face, and for what? Maybe it's because I kick so much butt I kick ass, or maybe 'cause I blast On a stupid ass nigga when I'm playin' with the trigger Of any Uzi or an AK 'Cause the police always got somethin' stupid to say They put up my picture with silence 'Cause my identity by itself causes violence The E with the criminal behavior Yeah, I'm a gangster, but still, I got flavor Without a gun and a badge, what do ya got? A sucka in a uniform waitin' to get shot By me, or another nigga. And with a gat, it don't matter if he's smarter or bigger (Size don't mean shit, he's from the old school, fool) And as you all know, E's here to rule Whenever I'm rollin', keep lookin in the mirror And ears on cue, yo, so I can hear a Dumb motherfucker with a gun And if I'm rollin' off the eight, he'll be the one That I take out, and then get away While I'm drivin off laughin' This is what I'll say Fuck the police, fuck-, fuck- Fuck the police, fuck- Fuck the police, fuck-, fuck- Fuck the police (The verdict) The jury has found you guilty of being a redneck Whitebread, chicken shit motherfucker Wait, that's a lie, that's a goddamn lie Get him out of here (I want justice) Get him the fuck out my face (I want justice) Out, right now Fuck you, you black motherfuckers Fuck the police Fuck the police Fuck the police"
You Must Learn,KRS-One,Racism,"Just like I told you you must learn It's calm yet wild the style that I speak Just filled with facts and you will never get weak in the heart In fact you'll start to illuminate knowledge to others in a song Let me demonstrate the force of knowledge knowledge reigned supreme The ignorant is ripped to smithereens What do you mean when you say I'm rebellious 'Cause I don't accept everything that you're telling us What are you selling us the creator dwellin' us I sit in your unknown class while you're failing' us I failed your class 'cause I ain't with your reasoning You're tryin' make me you by seasoning Up my mind with see Jane run, see John walk in a hardcore New York It doesn't exist no way, no how It seems to me that in a school that's ebony African history should be pumped up steadily, but it's not and this has got to stop, See Spot run, run get Spot Insulting to a Black mentality, a Black way of life Or a jet Black family, so I include with one concern, that You must learn I believe that if you're teaching history Filled with straight up facts no mystery Teach the student what needs to be taught 'Cause Black and White kids both take shorts When one doesn't know about the other ones' culture Ignorance swoops down like a vulture 'Cause you don't know that you ain't just a janitor No one told you about Benjamin Banneker A brilliant Black man that invented the almanac Can't you see where KRS is coming at With Elie Whitney, Holly Selosy, Grand Bill Woods made the walky-talky Lewis Latterman improved on Edison Charles Drew did a lot for medicine Garrett Morgan made the traffic lights Harriet Tubman freed the slaves at night Madame CJ Walker made a straightin' comb But you won't know this is you weren't shown The point I'm gettin' at it it might be harsh 'Cause we're just walkin' around brainwashed So what I'm sayin' is not to diss a man we need the 89 school system One that caters to a Black return because You must learn I believe that if you're teaching history"
Me Against the World ,2Pac,Racism,"It's just me against the world Ooh, ooh Nothin' to lose, It's just me against the world baby Oh, ah ah I got nothin' to lose It's just me against the world Oh-hahhh Stuck in the game Me against the world baby Can you picture my prophecy? Stress in the city, the cops is hot for me The projects is full of bullets, the bodies is droppin' There ain't no stoppin' me Constantly movin' while makin' millions Witnessin' killings, leavin' dead bodies in abandoned buildings Carries to children 'cause they're illin' Addicted to killin' and the appeal from the cap peelin' Without feelin', but will they last or be blasted? Hard headed bastard Maybe he'll listen in his casket, the aftermath More bodies being buried, I'm losing my homies in a hurry They're relocating to the cemetery Got me worried, stressin', my vision's blurried The question is will I live? No one in the world loves me I'm headed for danger, don't trust strangers Put one in the chamber whenever I'm feelin' this anger Don't wanna make excuses, 'cause this is how it is What's the use unless we're shootin' no one notices the youth It's just me against the world baby Me against the world It's just me against the world Ooh yeah, ooh-hoo It's just me against the world Me against the world 'Cause it's just me against the world baby Hey! Me against the world Ooh yeah I got nothin' to lose It's just me against the world baby I got nothin' to lose Could somebody help me? I'm out here all by myself See ladies in stores, Baby Capone's, livin' wealthy Pictures of my birth on this Earth is what I'm dreamin Seein Daddy's semen, full of crooked demons, already crazy And screamin' I guess them nightmares as a child Had me scared, but left me prepared for a while Is there another route? For a crooked Outlaw Veteran, a villian, a young thug, who one day shall fall Ever'day there's mo' death, and plus I'm dough-less I'm seein' mo' reasons for me to proceed with thievin' Scheme on the scheming and leave they peeps grieving 'Cause ain't no bucks to stack up, my nuts is backed up I'm bout to act up, go load the Mac up, now watch me klacka Tried makin' fat cuts, but yo it ain't workin' And Evil's lurking, I can see him smirking When I gets to pervin', so what? Go put some work in, and make my mail, makin' sales Risking 25 with a 'L', but oh well Me against the world With nothin' to lose It's just me against the world Ooh yeah, ooh-ooh It's just me against the world baby Me against the world I got nuttin to lose It's just me against the world Oh oh Ha ha It's just me against the world baby Ha-ah, ha ah! With nothin' to lose It's just me against the world baby Me against the world, ho ah Me against the world I got nothin' to lose It's just me against the world baby Ha-hahh (hehe) heyy! With all this extra stressin' The question I wonder is after death, after my last breath When will I finally get to rest? Through this suppression They punish the people that's askin' questions And those that possess, steal from the ones without possessions The message I stress, to make it stop study your lessons Don't settle for less, even the genius asks-es questions Be grateful for blessings Don't ever change, keep your essence The power is in the people and politics we address Always do your best, don't let the pressure make you panic And when you get stranded And things don't go the way you planned it Dreamin' of riches, in a position of makin' a difference Politicians and hypocrites, they don't wanna listen If I'm insane, it's the fame made a brother change It wasn't nothin' like the game It's just me against the world Me against the world Nothin' to lose It's just me against the world baby Me against the world Got me stuck in the game It's just me against the world Oh ah I'd be ashamed to lose It's just me against the world baby Me against the world Heh, ha ha ha ha ha ha ha ha That's right I know it seem hard sometimes but uh Remember one thing Through every dark night, there's a bright day after that So no matter how hard it get, stick your chest out Keep your head up, and handle it"
